RunId,iteration,Step,size,n_resources,capacidad,densidad_obstaculos,max_steps,policy,lambda_dinamismo,competencia,costo_edicion,radio,rng,politica,entregas,pasos_utiles,pasos_deliberando,n_ediciones,n_ediciones_desperdiciadas,divergencias_reales,divergencias_detectadas,tareas_fallidas,carga_perdida,ceguera,latencia_deteccion,utilidad_bruta,costo_deliberacion,utilidad_neta
1793,28,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,0.7,5,3,28,OPEN_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1783,27,400.0,15,8,3,0.15,400,GOVERNED,0.1,1.0,5,3,27,GOVERNED,9,351,40,8,3,8,8,1,0,0.0,2.25,90.0,0.0,90.0
1782,27,400.0,15,8,3,0.15,400,GOVERNED,0.1,0.9,5,3,27,GOVERNED,9,351,40,8,3,8,8,1,0,0.0,2.25,90.0,0.0,90.0
1787,27,400.0,15,8,3,0.15,400,GOVERNED,0.25,1.0,5,3,27,GOVERNED,7,272,107,12,32,31,29,6,0,0.06451612903225812,2.1379310344827585,70.0,0.0,70.0
1786,27,400.0,15,8,3,0.15,400,GOVERNED,0.25,0.9,5,3,27,GOVERNED,6,215,169,13,67,44,44,2,0,0.0,1.3409090909090908,60.0,0.0,60.0
1795,28,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,1.0,5,3,28,OPEN_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1781,27,400.0,15,8,3,0.15,400,GOVERNED,0.1,0.7,5,3,27,GOVERNED,10,346,44,8,5,10,10,2,0,0.0,2.4,100.0,0.0,100.0
1797,28,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,0.7,5,3,28,OPEN_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1798,28,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,0.9,5,3,28,OPEN_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1791,27,400.0,15,8,3,0.15,400,GOVERNED,0.5,1.0,5,3,27,GOVERNED,2,111,261,14,156,76,76,9,0,0.0,1.0263157894736843,20.0,0.0,20.0
1794,28,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,0.9,5,3,28,OPEN_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1796,28,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,0.5,5,3,28,OPEN_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1789,27,400.0,15,8,3,0.15,400,GOVERNED,0.5,0.7,5,3,27,GOVERNED,1,204,182,6,122,54,54,6,0,0.0,1.0,10.0,0.0,10.0
1801,28,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,0.7,5,3,28,OPEN_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1803,28,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,1.0,5,3,28,OPEN_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1805,28,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,0.7,5,3,28,OPEN_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1799,28,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,1.0,5,3,28,OPEN_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1804,28,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,0.5,5,3,28,OPEN_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1800,28,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,0.5,5,3,28,OPEN_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1802,28,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,0.9,5,3,28,OPEN_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1808,28,400.0,15,8,3,0.15,400,COLD_RESTART,0.0,0.5,5,3,28,COLD_RESTART,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788,27,400.0,15,8,3,0.15,400,GOVERNED,0.5,0.5,5,3,27,GOVERNED,0,182,195,4,93,68,67,13,0,0.014705882352941124,1.0895522388059702,0.0,0.0,0.0
1810,28,400.0,15,8,3,0.15,400,COLD_RESTART,0.0,0.9,5,3,28,COLD_RESTART,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1806,28,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,0.9,5,3,28,OPEN_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1811,28,400.0,15,8,3,0.15,400,COLD_RESTART,0.0,1.0,5,3,28,COLD_RESTART,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1816,28,400.0,15,8,3,0.15,400,COLD_RESTART,0.25,0.5,5,3,28,COLD_RESTART,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1818,28,400.0,15,8,3,0.15,400,COLD_RESTART,0.25,0.9,5,3,28,COLD_RESTART,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1819,28,400.0,15,8,3,0.15,400,COLD_RESTART,0.25,1.0,5,3,28,COLD_RESTART,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1814,28,400.0,15,8,3,0.15,400,COLD_RESTART,0.1,0.9,5,3,28,COLD_RESTART,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1807,28,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,1.0,5,3,28,OPEN_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
