RunId,iteration,Step,size,n_resources,capacidad,densidad_obstaculos,max_steps,policy,lambda_dinamismo,radio,competencia,costo_edicion,rng,politica,entregas,pasos_utiles,pasos_deliberando,n_ediciones,n_ediciones_desperdiciadas,divergencias_reales,divergencias_detectadas,tareas_fallidas,carga_perdida,ceguera,latencia_deteccion,utilidad_bruta,costo_deliberacion,utilidad_neta
695,14,400.0,15,8,3,0.15,400,COLD_RESTART,0.5,,0.9,5,14,COLD_RESTART,0,3,392,4,245,103,103,0,0,0.0,1.0,0.0,0.0,0.0
739,15,400.0,15,8,3,0.15,400,COLD_RESTART,0.25,3.0,0.9,5,15,COLD_RESTART,3,265,125,9,46,34,34,1,0,0.0,1.0,30.0,0.0,30.0
736,15,400.0,15,8,3,0.15,400,COLD_RESTART,0.1,3.0,0.9,5,15,COLD_RESTART,10,362,30,6,1,7,7,2,2,0.0,3.7142857142857144,100.0,0.0,100.0
734,15,400.0,15,8,3,0.15,400,COLD_RESTART,0.0,,0.9,5,15,COLD_RESTART,27,400,0,0,0,0,0,0,0,0.0,0.0,270.0,0.0,270.0
737,15,400.0,15,8,3,0.15,400,COLD_RESTART,0.1,,0.9,5,15,COLD_RESTART,7,209,165,26,23,38,38,0,13,0.0,1.0,70.0,0.0,70.0
742,15,400.0,15,8,3,0.15,400,COLD_RESTART,0.5,3.0,0.9,5,15,COLD_RESTART,2,339,47,2,20,20,19,6,0,0.050000000000000044,1.368421052631579,20.0,0.0,20.0
747,15,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,1.0,0.9,5,15,CLOSED_LOOP,5,388,10,2,0,3,3,0,0,0.0,5.333333333333333,50.0,0.0,50.0
745,15,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,3.0,0.9,5,15,CLOSED_LOOP,10,400,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,100.0
748,15,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,3.0,0.9,5,15,CLOSED_LOOP,9,375,20,4,0,4,4,1,0,0.0,2.75,90.0,0.0,90.0
741,15,400.0,15,8,3,0.15,400,COLD_RESTART,0.5,1.0,0.9,5,15,COLD_RESTART,5,383,9,0,3,9,8,5,0,0.11111111111111116,1.875,50.0,0.0,50.0
750,15,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,1.0,0.9,5,15,CLOSED_LOOP,4,360,32,6,3,9,8,1,0,0.11111111111111116,4.25,40.0,0.0,40.0
744,15,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,1.0,0.9,5,15,CLOSED_LOOP,8,400,0,0,0,0,0,0,0,0.0,0.0,80.0,0.0,80.0
740,15,400.0,15,8,3,0.15,400,COLD_RESTART,0.25,,0.9,5,15,COLD_RESTART,0,61,311,23,133,73,73,4,8,0.0,1.0,0.0,0.0,0.0
746,15,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,,0.9,5,15,CLOSED_LOOP,27,400,0,0,0,0,0,0,0,0.0,0.0,270.0,0.0,270.0
719,14,400.0,15,8,3,0.15,400,GOVERNED,0.5,,0.9,5,14,GOVERNED,0,3,392,4,245,103,103,0,0,0.0,1.0,0.0,0.0,0.0
749,15,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,,0.9,5,15,CLOSED_LOOP,15,244,135,17,26,29,29,4,0,0.0,1.0,150.0,0.0,150.0
756,15,400.0,15,8,3,0.15,400,GOVERNED,0.0,1.0,0.9,5,15,GOVERNED,8,400,0,0,0,0,0,0,0,0.0,0.0,80.0,0.0,80.0
751,15,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,3.0,0.9,5,15,CLOSED_LOOP,3,265,125,9,46,34,34,1,0,0.0,1.0,30.0,0.0,30.0
754,15,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,3.0,0.9,5,15,CLOSED_LOOP,2,339,47,2,20,20,19,6,0,0.050000000000000044,1.368421052631579,20.0,0.0,20.0
757,15,400.0,15,8,3,0.15,400,GOVERNED,0.0,3.0,0.9,5,15,GOVERNED,10,400,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,100.0
753,15,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,1.0,0.9,5,15,CLOSED_LOOP,5,383,9,0,3,9,8,5,0,0.11111111111111116,1.875,50.0,0.0,50.0
