RunId,iteration,Step,size,n_resources,capacidad,densidad_obstaculos,max_steps,policy,lambda_dinamismo,costo_edicion,competencia,radio,rng,politica,entregas,pasos_utiles,pasos_deliberando,n_ediciones,n_ediciones_desperdiciadas,divergencias_reales,divergencias_detectadas,tareas_fallidas,carga_perdida,ceguera,latencia_deteccion,utilidad_bruta,costo_deliberacion,utilidad_neta
542,4,400.0,15,8,3,0.15,400,COLD_RESTART,0.0,5,0.9,3,4,COLD_RESTART,5,400,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,50.0
538,4,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,5,0.9,3,4,OPEN_LOOP,11,379,0,0,0,25,24,21,0,0.040000000000000036,1.5,110.0,0.0,110.0
543,4,400.0,15,8,3,0.15,400,COLD_RESTART,0.0,10,0.9,3,4,COLD_RESTART,5,400,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,50.0
536,4,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,0,0.9,3,4,OPEN_LOOP,11,379,0,0,0,25,24,21,0,0.040000000000000036,1.5,110.0,0.0,110.0
545,4,400.0,15,8,3,0.15,400,COLD_RESTART,0.05,2,0.9,3,4,COLD_RESTART,5,397,2,1,0,1,1,0,0,0.0,4.0,50.0,0.0,50.0
544,4,400.0,15,8,3,0.15,400,COLD_RESTART,0.05,0,0.9,3,4,COLD_RESTART,5,399,0,2,0,3,3,1,0,0.0,3.3333333333333335,50.0,0.0,50.0
546,4,400.0,15,8,3,0.15,400,COLD_RESTART,0.05,5,0.9,3,4,COLD_RESTART,12,393,5,1,0,2,2,1,0,0.0,4.0,120.0,0.0,120.0
524,4,400.0,15,8,3,0.15,400,OPEN_LOOP,0.05,0,0.9,3,4,OPEN_LOOP,18,390,0,0,0,11,11,10,0,0.0,6.363636363636363,180.0,0.0,180.0
547,4,400.0,15,8,3,0.15,400,COLD_RESTART,0.05,10,0.9,3,4,COLD_RESTART,8,334,62,4,4,9,8,0,2,0.11111111111111116,2.75,80.0,0.0,80.0
548,4,400.0,15,8,3,0.15,400,COLD_RESTART,0.1,0,0.9,3,4,COLD_RESTART,6,399,0,4,1,5,5,1,1,0.0,5.0,60.0,0.0,60.0
550,4,400.0,15,8,3,0.15,400,COLD_RESTART,0.1,5,0.9,3,4,COLD_RESTART,7,368,27,3,3,9,9,1,0,0.0,3.6666666666666665,70.0,0.0,70.0
541,4,400.0,15,8,3,0.15,400,COLD_RESTART,0.0,2,0.9,3,4,COLD_RESTART,5,400,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,50.0
549,4,400.0,15,8,3,0.15,400,COLD_RESTART,0.1,2,0.9,3,4,COLD_RESTART,7,384,10,4,2,8,8,2,0,0.0,2.625,70.0,0.0,70.0
537,4,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,2,0.9,3,4,OPEN_LOOP,11,379,0,0,0,25,24,21,0,0.040000000000000036,1.5,110.0,0.0,110.0
552,4,400.0,15,8,3,0.15,400,COLD_RESTART,0.25,0,0.9,3,4,COLD_RESTART,4,400,0,3,2,1,1,0,0,0.0,1.0,40.0,0.0,40.0
539,4,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,10,0.9,3,4,OPEN_LOOP,11,379,0,0,0,25,24,21,0,0.040000000000000036,1.5,110.0,0.0,110.0
551,4,400.0,15,8,3,0.15,400,COLD_RESTART,0.1,10,0.9,3,4,COLD_RESTART,5,309,82,5,12,14,14,4,1,0.0,2.2857142857142856,50.0,0.0,50.0
