RunId,iteration,Step,size,n_resources,capacidad,densidad_obstaculos,max_steps,policy,lambda_dinamismo,presupuesto,competencia,costo_edicion,radio,rng,politica,entregas,pasos_utiles,pasos_deliberando,n_ediciones,n_ediciones_desperdiciadas,divergencias_reales,divergencias_detectadas,tareas_fallidas,carga_perdida,ceguera,latencia_deteccion,utilidad_bruta,costo_deliberacion,utilidad_neta
77,3,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,5,0.9,5,3,3,CLOSED_LOOP,10,348,40,7,7,13,12,4,0,0.07692307692307687,1.9166666666666667,100.0,0.0,100.0
68,2,400.0,15,8,3,0.15,400,GOVERNED,0.5,3,0.9,5,3,2,GOVERNED,8,285,97,3,57,49,49,13,0,0.0,1.4285714285714286,80.0,0.0,80.0
78,3,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,10,0.9,5,3,3,CLOSED_LOOP,10,348,40,7,7,13,12,4,0,0.07692307692307687,1.9166666666666667,100.0,0.0,100.0
79,3,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,25,0.9,5,3,3,CLOSED_LOOP,10,348,40,7,7,13,12,4,0,0.07692307692307687,1.9166666666666667,100.0,0.0,100.0
69,2,400.0,15,8,3,0.15,400,GOVERNED,0.5,5,0.9,5,3,2,GOVERNED,5,269,111,5,61,46,46,13,0,0.0,1.2391304347826086,50.0,0.0,50.0
85,3,400.0,15,8,3,0.15,400,GOVERNED,0.1,5,0.9,5,3,3,GOVERNED,11,353,39,5,6,12,12,3,0,0.0,3.4166666666666665,110.0,0.0,110.0
86,3,400.0,15,8,3,0.15,400,GOVERNED,0.1,10,0.9,5,3,3,GOVERNED,7,323,68,8,18,18,17,1,0,0.05555555555555558,2.176470588235294,70.0,0.0,70.0
84,3,400.0,15,8,3,0.15,400,GOVERNED,0.1,3,0.9,5,3,3,GOVERNED,15,367,20,3,3,13,13,10,0,0.0,2.3846153846153846,150.0,0.0,150.0
89,3,400.0,15,8,3,0.15,400,GOVERNED,0.25,5,0.9,5,3,3,GOVERNED,14,354,25,5,1,27,25,16,0,0.07407407407407407,1.96,140.0,0.0,140.0
87,3,400.0,15,8,3,0.15,400,GOVERNED,0.1,25,0.9,5,3,3,GOVERNED,7,323,68,8,18,18,17,1,0,0.05555555555555558,2.176470588235294,70.0,0.0,70.0
